Course Code|Course Description|Grade|Pathway or Destination|Enrolment
ADA1O|Drama|Grade 9|Open (Grade 9 - 12 level)|30330
ADA2O|Drama|Grade 10|Open (Grade 9 - 12 level)|18600
ADA3M|Drama|Grade 11|University/College Preparation (Grade 11 & 12 level)|8115
ADA3O|Drama|Grade 11|Open (Grade 9 - 12 level)|1445
ADA4E|Drama|Grade 12|Workplace Preparation (Grade 11 & 12 level)|125
ADA4M|Drama|Grade 12|University/College Preparation (Grade 11 & 12 level)|5410
ADB1O|Drama - Musical Theatre|Grade 9|Open (Grade 9 - 12 level)|100
ADB2O|Drama - Musical Theatre|Grade 10|Open (Grade 9 - 12 level)|240
ADB3M|Drama - Musical Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|590
ADB3O|Drama - Musical Theatre|Grade 11|Open (Grade 9 - 12 level)|20
ADB4M|Drama - Musical Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|535
ADC1O|Drama in the Community|Grade 9|Open (Grade 9 - 12 level)|125
ADC2O|Drama in the Community|Grade 10|Open (Grade 9 - 12 level)|90
ADC3M|Drama in the Community|Grade 11|University/College Preparation (Grade 11 & 12 level)|120
ADC4M|Drama in the Community|Grade 12|University/College Preparation (Grade 11 & 12 level)|215
ADD1O|Drama - Production|Grade 9|Open (Grade 9 - 12 level)|685
ADD2O|Drama - Production|Grade 10|Open (Grade 9 - 12 level)|735
ADD3M|Drama - Production|Grade 11|University/College Preparation (Grade 11 & 12 level)|1145
ADD3O|Drama - Production|Grade 11|Open (Grade 9 - 12 level)|220
ADD4M|Drama - Production|Grade 12|University/College Preparation (Grade 11 & 12 level)|1030
ADD4O|Drama - Production|Grade 12|Open (Grade 9 - 12 level)|<10
ADF3M|Director's Craft|Grade 11|University/College Preparation (Grade 11 & 12 level)|135
ADF4M|Director's Craft|Grade 12|University/College Preparation (Grade 11 & 12 level)|210
ADG3M|Drama - Acting/Improvisation|Grade 11|University/College Preparation (Grade 11 & 12 level)|115
ADG3O|Drama - Acting/Improvisation|Grade 11|Open (Grade 9 - 12 level)|20
ADG4M|Drama - Acting/Improvisation|Grade 12|University/College Preparation (Grade 11 & 12 level)|95
ADH4T|Performing Arts Career Studies|Grade 12|College Delivered (Dual Credits)|10
ADK4T|Acting|Grade 12|College Delivered (Dual Credits)|<10
ADP3M|Drama - Playwriting/Theatre Development|Grade 11|University/College Preparation (Grade 11 & 12 level)|120
ADP4M|Drama - Playwriting/Theatre Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|85
ADT3M|Drama - Canadian Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|20
ADT4M|Drama - Canadian Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|15
ADV1O|Drama - Film/Video|Grade 9|Open (Grade 9 - 12 level)|155
ADV2O|Drama - Film/Video|Grade 10|Open (Grade 9 - 12 level)|170
ADV3M|Drama - Film/Video|Grade 11|University/College Preparation (Grade 11 & 12 level)|450
ADV3O|Drama - Film/Video|Grade 11|Open (Grade 9 - 12 level)|75
ADV4M|Drama - Film/Video|Grade 12|University/College Preparation (Grade 11 & 12 level)|310
AEA3O|Exploring and Creating in the Arts|Grade 11|Open (Grade 9 - 12 level)|600
AEA4O|Exploring and Creating in the Arts|Grade 12|Open (Grade 9 - 12 level)|530
AEF4T|Design|Grade 12|College Delivered (Dual Credits)|55
AEL4T|Basic  Design|Grade 12|College Delivered (Dual Credits)|40
AEM4T|Composition and Creativity|Grade 12|College Delivered (Dual Credits)|15
AFA4T|Illustration|Grade 12|College Delivered (Dual Credits)|50
AFD4T|Drawing|Grade 12|College Delivered (Dual Credits)|100
AFI4T|Digital Photography and Image Editing|Grade 12|College Delivered (Dual Credits)|55
AFJ4T|Digital Art and Design|Grade 12|College Delivered (Dual Credits)|165
AFK4T|Digital Photography Techniques|Grade 12|College Delivered (Dual Credits)|160
AFM4T|Digital Applications|Grade 12|College Delivered (Dual Credits)|40
AFR4T|Modelling and Animation|Grade 12|College Delivered (Dual Credits)|20
AHC4T|Music and Movement|Grade 12|College Delivered (Dual Credits)|15
AHE4T|Music and Society|Grade 12|College Delivered (Dual Credits)|<10
AHL4T|History of Rock and Roll|Grade 12|College Delivered (Dual Credits)|15
ALC1O|Integrated Arts|Grade 9|Open (Grade 9 - 12 level)|4395
ALC2O|Integrated Arts|Grade 10|Open (Grade 9 - 12 level)|730
AMB1O|Instrumental Music - Brass|Grade 9|Open (Grade 9 - 12 level)|70
AMB2O|Instrumental Music - Brass|Grade 10|Open (Grade 9 - 12 level)|10
AMB3M|Instrumental Music - Brass|Grade 11|University/College Preparation (Grade 11 & 12 level)|20
AMB4M|Instrumental Music - Brass|Grade 12|University/College Preparation (Grade 11 & 12 level)|40
AMC1O|Music for Creating|Grade 9|Open (Grade 9 - 12 level)|360
AMC2O|Music for Creating|Grade 10|Open (Grade 9 - 12 level)|270
AMC3M|Music for Creating|Grade 11|University/College Preparation (Grade 11 & 12 level)|470
AMC3O|Music for Creating|Grade 11|Open (Grade 9 - 12 level)|80
AMC4M|Music for Creating|Grade 12|University/College Preparation (Grade 11 & 12 level)|335
AMD1O|Electronic Music|Grade 9|Open (Grade 9 - 12 level)|60
AMD2O|Electronic Music|Grade 10|Open (Grade 9 - 12 level)|80
AMD3M|Electronic Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|30
AMD3O|Electronic Music|Grade 11|Open (Grade 9 - 12 level)|<10
AMD4M|Electronic Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|25
AME1O|Small Ensemble|Grade 9|Open (Grade 9 - 12 level)|120
AME2O|Small Ensemble|Grade 10|Open (Grade 9 - 12 level)|85
AME3M|Small Ensemble|Grade 11|University/College Preparation (Grade 11 & 12 level)|225
AME3O|Small Ensemble|Grade 11|Open (Grade 9 - 12 level)|25
AME4M|Small Ensemble|Grade 12|University/College Preparation (Grade 11 & 12 level)|245
AMG1O|Guitar Music|Grade 9|Open (Grade 9 - 12 level)|2105
AMG2O|Guitar Music|Grade 10|Open (Grade 9 - 12 level)|6170
AMG3M|Guitar Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|1475
AMG3O|Guitar Music|Grade 11|Open (Grade 9 - 12 level)|1765
AMG4M|Guitar Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|950
AMH1O|Stage-Band Music|Grade 9|Open (Grade 9 - 12 level)|150
AMH2O|Stage-Band Music|Grade 10|Open (Grade 9 - 12 level)|175
AMH3M|Stage-Band Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|260
AMH3O|Stage-Band Music|Grade 11|Open (Grade 9 - 12 level)|<10
AMH4M|Stage-Band Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|195
AMI1O|Instrumental Music - Band|Grade 9|Open (Grade 9 - 12 level)|12495
AMI2O|Instrumental Music - Band|Grade 10|Open (Grade 9 - 12 level)|5880
AMI3M|Instrumental Music - Band|Grade 11|University/College Preparation (Grade 11 & 12 level)|3310
AMI3O|Instrumental Music - Band|Grade 11|Open (Grade 9 - 12 level)|105
AMI4M|Instrumental Music - Band|Grade 12|University/College Preparation (Grade 11 & 12 level)|2080
AMJ1O|Vocal Jazz|Grade 9|Open (Grade 9 - 12 level)|<10
AMJ2O|Vocal Jazz|Grade 10|Open (Grade 9 - 12 level)|45
AMJ3M|Vocal Jazz|Grade 11|University/College Preparation (Grade 11 & 12 level)|40
AMJ3O|Vocal Jazz|Grade 11|Open (Grade 9 - 12 level)|20
AMJ4M|Vocal Jazz|Grade 12|University/College Preparation (Grade 11 & 12 level)|100
AMK1O|Keyboard Music|Grade 9|Open (Grade 9 - 12 level)|695
AMK2O|Keyboard Music|Grade 10|Open (Grade 9 - 12 level)|1265
AMK3M|Keyboard Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|365
AMK3O|Keyboard Music|Grade 11|Open (Grade 9 - 12 level)|130
AMK4M|Keyboard Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|240
AMM1O|Music and Computers|Grade 9|Open (Grade 9 - 12 level)|220
AMM2O|Music and Computers|Grade 10|Open (Grade 9 - 12 level)|330
AMM3M|Music and Computers|Grade 11|University/College Preparation (Grade 11 & 12 level)|490
AMM3O|Music and Computers|Grade 11|Open (Grade 9 - 12 level)|265
AMM4M|Music and Computers|Grade 12|University/College Preparation (Grade 11 & 12 level)|325
AMO1O|Instrumental Music - Orchestra|Grade 9|Open (Grade 9 - 12 level)|200
AMO2O|Instrumental Music - Orchestra|Grade 10|Open (Grade 9 - 12 level)|195
AMO3M|Instrumental Music - Orchestra|Grade 11|University/College Preparation (Grade 11 & 12 level)|160
AMO4M|Instrumental Music - Orchestra|Grade 12|University/College Preparation (Grade 11 & 12 level)|145
AMP1O|Instrumental Music - Percussion|Grade 9|Open (Grade 9 - 12 level)|85
AMP2O|Instrumental Music - Percussion|Grade 10|Open (Grade 9 - 12 level)|65
AMP3M|Instrumental Music - Percussion|Grade 11|University/College Preparation (Grade 11 & 12 level)|15
AMP3O|Instrumental Music - Percussion|Grade 11|Open (Grade 9 - 12 level)|<10
AMP4M|Instrumental Music - Percussion|Grade 12|University/College Preparation (Grade 11 & 12 level)|10
AMQ1O|Music - Steel Drum|Grade 9|Open (Grade 9 - 12 level)|205
AMQ2O|Music - Steel Drum|Grade 10|Open (Grade 9 - 12 level)|120
AMQ3M|Music - Steel Drum|Grade 11|University/College Preparation (Grade 11 & 12 level)|35
AMQ4M|Music - Steel Drum|Grade 12|University/College Preparation (Grade 11 & 12 level)|10
AMR1O|Repertoire|Grade 9|Open (Grade 9 - 12 level)|3350
AMR2O|Repertoire|Grade 10|Open (Grade 9 - 12 level)|3360
AMR3M|Repertoire|Grade 11|University/College Preparation (Grade 11 & 12 level)|2475
AMR3O|Repertoire|Grade 11|Open (Grade 9 - 12 level)|275
AMR4M|Repertoire|Grade 12|University/College Preparation (Grade 11 & 12 level)|1610
AMS1O|Instrumental Music - Strings|Grade 9|Open (Grade 9 - 12 level)|1795
AMS2O|Instrumental Music - Strings|Grade 10|Open (Grade 9 - 12 level)|950
AMS3M|Instrumental Music - Strings|Grade 11|University/College Preparation (Grade 11 & 12 level)|535
AMS3O|Instrumental Music - Strings|Grade 11|Open (Grade 9 - 12 level)|20
AMS4M|Instrumental Music - Strings|Grade 12|University/College Preparation (Grade 11 & 12 level)|375
AMT1O|Music Theatre|Grade 9|Open (Grade 9 - 12 level)|120
AMT2O|Music Theatre|Grade 10|Open (Grade 9 - 12 level)|300
AMT3M|Music Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|615
AMT3O|Music Theatre|Grade 11|Open (Grade 9 - 12 level)|45
AMT4M|Music Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|545
AMU1O|Music|Grade 9|Open (Grade 9 - 12 level)|14570
AMU2O|Music|Grade 10|Open (Grade 9 - 12 level)|6430
AMU3M|Music|Grade 11|University/College Preparation (Grade 11 & 12 level)|3245
AMU3O|Music|Grade 11|Open (Grade 9 - 12 level)|380
AMU4E|Music|Grade 12|Workplace Preparation (Grade 11 & 12 level)|45
AMU4M|Music|Grade 12|University/College Preparation (Grade 11 & 12 level)|2100
AMV1O|Music - Vocal/Choral|Grade 9|Open (Grade 9 - 12 level)|1755
AMV2O|Music - Vocal/Choral|Grade 10|Open (Grade 9 - 12 level)|1795
AMV3M|Music - Vocal/Choral|Grade 11|University/College Preparation (Grade 11 & 12 level)|1295
AMV3O|Music - Vocal/Choral|Grade 11|Open (Grade 9 - 12 level)|115
AMV4M|Music - Vocal/Choral|Grade 12|University/College Preparation (Grade 11 & 12 level)|1195
AMW1O|Music - Woodwinds|Grade 9|Open (Grade 9 - 12 level)|75
AMW2O|Music - Woodwinds|Grade 10|Open (Grade 9 - 12 level)|40
AMW3M|Music - Woodwinds|Grade 11|University/College Preparation (Grade 11 & 12 level)|40
AMW4M|Music - Woodwinds|Grade 12|University/College Preparation (Grade 11 & 12 level)|40
AMX3M|Music - External (Conservatory)|Grade 11|University/College Preparation (Grade 11 & 12 level)|135
AMX4M|Music - External (Conservatory)|Grade 12|University/College Preparation (Grade 11 & 12 level)|275
ASM2O|Media Arts|Grade 10|Open (Grade 9 - 12 level)|9015
ASM3M|Media Arts|Grade 11|University/College Preparation (Grade 11 & 12 level)|3280
ASM3O|Media Arts|Grade 11|Open (Grade 9 - 12 level)|2580
ASM4E|Media Arts|Grade 12|Workplace Preparation (Grade 11 & 12 level)|100
ASM4M|Media Arts|Grade 12|University/College Preparation (Grade 11 & 12 level)|2295
ATB1O|Dance - Ballet|Grade 9|Open (Grade 9 - 12 level)|100
ATB2O|Dance - Ballet|Grade 10|Open (Grade 9 - 12 level)|90
ATB3M|Dance - Ballet|Grade 11|University/College Preparation (Grade 11 & 12 level)|90
ATB4M|Dance - Ballet|Grade 12|University/College Preparation (Grade 11 & 12 level)|70
ATC1O|Dance|Grade 9|Open (Grade 9 - 12 level)|2985
ATC2O|Dance|Grade 10|Open (Grade 9 - 12 level)|3165
ATC3M|Dance|Grade 11|University/College Preparation (Grade 11 & 12 level)|1825
ATC3O|Dance|Grade 11|Open (Grade 9 - 12 level)|270
ATC4E|Dance|Grade 12|Workplace Preparation (Grade 11 & 12 level)|<10
ATC4M|Dance|Grade 12|University/College Preparation (Grade 11 & 12 level)|1340
ATD1O|Dance - Composition|Grade 9|Open (Grade 9 - 12 level)|<10
ATD2O|Dance - Composition|Grade 10|Open (Grade 9 - 12 level)|15
ATD3M|Dance - Composition|Grade 11|University/College Preparation (Grade 11 & 12 level)|105
ATD4M|Dance - Composition|Grade 12|University/College Preparation (Grade 11 & 12 level)|255
ATH4M|Dance - History Development|Grade 12|University/College Preparation (Grade 11 & 12 level)|<10
ATJ1O|Dance - Jazz|Grade 9|Open (Grade 9 - 12 level)|<10
ATJ2O|Dance - Jazz|Grade 10|Open (Grade 9 - 12 level)|40
ATJ3M|Dance - Jazz|Grade 11|University/College Preparation (Grade 11 & 12 level)|30
ATJ3O|Dance - Jazz|Grade 11|Open (Grade 9 - 12 level)|<10
ATM1O|Dance - Modern|Grade 9|Open (Grade 9 - 12 level)|115
ATM2O|Dance - Modern|Grade 10|Open (Grade 9 - 12 level)|105
ATM3M|Dance - Modern|Grade 11|University/College Preparation (Grade 11 & 12 level)|90
ATM3O|Dance - Modern|Grade 11|Open (Grade 9 - 12 level)|<10
ATM4M|Dance - Modern|Grade 12|University/College Preparation (Grade 11 & 12 level)|115
ATN1O|Aboriginal Peoples (North American)|Grade 9|Open (Grade 9 - 12 level)|<10
ATN3M|Aboriginal Peoples (North American)|Grade 11|University/College Preparation (Grade 11 & 12 level)|<10
ATO2O|Dance - Pacific Rim/Asian|Grade 10|Open (Grade 9 - 12 level)|15
ATO3M|Dance - Pacific Rim/Asian|Grade 11|University/College Preparation (Grade 11 & 12 level)|<10
ATO3O|Dance - Pacific Rim/Asian|Grade 11|Open (Grade 9 - 12 level)|20
ATO4M|Dance - Pacific Rim/Asian|Grade 12|University/College Preparation (Grade 11 & 12 level)|15
ATP1O|Dance - Performance Practice|Grade 9|Open (Grade 9 - 12 level)|225
ATP2O|Dance - Performance Practice|Grade 10|Open (Grade 9 - 12 level)|230
ATP3M|Dance - Performance Practice|Grade 11|University/College Preparation (Grade 11 & 12 level)|385
ATP4M|Dance - Performance Practice|Grade 12|University/College Preparation (Grade 11 & 12 level)|300
ATR1O|Dance-Hip Hop and Urban|Grade 9|Open (Grade 9 - 12 level)|25
ATR3M|Dance-Hip Hop and Urban|Grade 11|University/College Preparation (Grade 11 & 12 level)|<10
ATR3O|Dance-Hip Hop and Urban|Grade 11|Open (Grade 9 - 12 level)|<10
ATS1O|Dance-Social Dance (Ballroom, Swing, Traditional Forms)|Grade 9|Open (Grade 9 - 12 level)|<10
ATS3M|Dance-Social Dance (Ballroom,Swing, Traditional Forms)|Grade 11|University/College Preparation (Grade 11 & 12 level)|<10
ATS4M|Dance-Social Dance (Ballroom,Swing, Traditional Forms)|Grade 12|University/College Preparation (Grade 11 & 12 level)|<10
ATU1O|Dance - Music Theatre|Grade 9|Open (Grade 9 - 12 level)|15
ATU2O|Dance - Music Theatre|Grade 10|Open (Grade 9 - 12 level)|25
ATU3M|Dance - Music Theatre|Grade 11|University/College Preparation (Grade 11 & 12 level)|50
ATU3O|Dance - Music Theatre|Grade 11|Open (Grade 9 - 12 level)|<10
ATU4M|Dance - Music Theatre|Grade 12|University/College Preparation (Grade 11 & 12 level)|45
ATZ1O|Dance-World Cultures|Grade 9|Open (Grade 9 - 12 level)|25
ATZ2O|Dance-World Cultures|Grade 10|Open (Grade 9 - 12 level)|30
ATZ3M|Dance-World Cultures|Grade 11|University/College Preparation (Grade 11 & 12 level)|30
ATZ4M|Dance-World Cultures|Grade 12|University/College Preparation (Grade 11 & 12 level)|25
AVA4T|Ideas and Imagery|Grade 12|College Delivered (Dual Credits)|30
AVD4T|Fashion Design|Grade 12|College Delivered (Dual Credits)|40
AVI1O|Visual Arts|Grade 9|Open (Grade 9 - 12 level)|53955
AVI2O|Visual Arts|Grade 10|Open (Grade 9 - 12 level)|37325
AVI3M|Visual Arts|Grade 11|University/College Preparation (Grade 11 & 12 level)|20535
AVI3O|Visual Arts|Grade 11|Open (Grade 9 - 12 level)|5615
AVI4E|Visual Arts|Grade 12|Workplace Preparation (Grade 11 & 12 level)|720
AVI4M|Visual Arts|Grade 12|University/College Preparation (Grade 11 & 12 level)|12600
AVP4T|Painting|Grade 12|College Delivered (Dual Credits)|<10
AWA1O|Visual Arts - Crafts|Grade 9|Open (Grade 9 - 12 level)|535
AWA2O|Visual Arts - Crafts|Grade 10|Open (Grade 9 - 12 level)|2110
AWA3M|Visual Arts - Crafts|Grade 11|University/College Preparation (Grade 11 & 12 level)|275
AWA3O|Visual Arts - Crafts|Grade 11|Open (Grade 9 - 12 level)|2735
AWA4M|Visual Arts - Crafts|Grade 12|University/College Preparation (Grade 11 & 12 level)|260
AWC2O|Visual Arts - Ceramics|Grade 10|Open (Grade 9 - 12 level)|780
AWC3M|Visual Arts - Ceramics|Grade 11|University/College Preparation (Grade 11 & 12 level)|785
AWC3O|Visual Arts - Ceramics|Grade 11|Open (Grade 9 - 12 level)|815
AWC4M|Visual Arts - Ceramics|Grade 12|University/College Preparation (Grade 11 & 12 level)|530
AWD1O|Visual Arts - Visual Design|Grade 9|Open (Grade 9 - 12 level)|285
AWD2O|Visual Arts - Visual Design|Grade 10|Open (Grade 9 - 12 level)|915
AWD3M|Visual Arts - Visual Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|1165
AWD3O|Visual Arts - Visual Design|Grade 11|Open (Grade 9 - 12 level)|165
AWD4M|Visual Arts - Visual Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|1265
AWE2O|Visual Arts - Information/Consumer Design|Grade 10|Open (Grade 9 - 12 level)|115
AWE3M|Visual Arts - Information/Consumer Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|340
AWE3O|Visual Arts - Information/Consumer Design|Grade 11|Open (Grade 9 - 12 level)|60
AWE4M|Visual Arts - Information/Consumer Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|450
AWF1O|Visual Arts - Industrial Design|Grade 9|Open (Grade 9 - 12 level)|<10
AWF2O|Visual Arts - Industrial Design|Grade 10|Open (Grade 9 - 12 level)|85
AWF3M|Visual Arts - Industrial Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|60
AWF3O|Visual Arts - Industrial Design|Grade 11|Open (Grade 9 - 12 level)|15
AWF4M|Visual Arts - Industrial Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|55
AWG4M|Visual Arts - Environmental Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|20
AWH3M|Visual Arts - Interior Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|205
AWH3O|Visual Arts - Interior Design|Grade 11|Open (Grade 9 - 12 level)|100
AWH4M|Visual Arts - Interior Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|70
AWI1O|Visual Arts - Fashion and Textile Design|Grade 9|Open (Grade 9 - 12 level)|55
AWI2O|Visual Arts - Fashion and Textile Design|Grade 10|Open (Grade 9 - 12 level)|260
AWI3M|Visual Arts - Fashion and Textile Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|345
AWI3O|Visual Arts - Fashion and Textile Design|Grade 11|Open (Grade 9 - 12 level)|190
AWI4M|Visual Arts - Fashion and Textile Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|210
AWJ1O|Visual Arts - Stage Design|Grade 9|Open (Grade 9 - 12 level)|40
AWJ2O|Visual Arts - Stage Design|Grade 10|Open (Grade 9 - 12 level)|<10
AWJ3M|Visual Arts - Stage Design|Grade 11|University/College Preparation (Grade 11 & 12 level)|55
AWJ3O|Visual Arts - Stage Design|Grade 11|Open (Grade 9 - 12 level)|<10
AWJ4M|Visual Arts - Stage Design|Grade 12|University/College Preparation (Grade 11 & 12 level)|30
AWK1O|Visual Arts - Illustration|Grade 9|Open (Grade 9 - 12 level)|30
AWK2O|Visual Arts - Illustration|Grade 10|Open (Grade 9 - 12 level)|100
AWK3M|Visual Arts - Illustration|Grade 11|University/College Preparation (Grade 11 & 12 level)|255
AWK3O|Visual Arts - Illustration|Grade 11|Open (Grade 9 - 12 level)|95
AWK4M|Visual Arts - Illustration|Grade 12|University/College Preparation (Grade 11 & 12 level)|270
AWL1O|Visual Arts - Drawing|Grade 9|Open (Grade 9 - 12 level)|70
AWL2O|Visual Arts - Drawing|Grade 10|Open (Grade 9 - 12 level)|45
AWL3M|Visual Arts - Drawing|Grade 11|University/College Preparation (Grade 11 & 12 level)|260
AWL3O|Visual Arts - Drawing|Grade 11|Open (Grade 9 - 12 level)|120
AWL4M|Visual Arts - Drawing|Grade 12|University/College Preparation (Grade 11 & 12 level)|225
AWM1O|Visual Arts - Drawing and Painting|Grade 9|Open (Grade 9 - 12 level)|310
AWM2O|Visual Arts - Drawing and Painting|Grade 10|Open (Grade 9 - 12 level)|410
AWM3M|Visual Arts - Drawing and Painting|Grade 11|University/College Preparation (Grade 11 & 12 level)|1005
AWM3O|Visual Arts - Drawing and Painting|Grade 11|Open (Grade 9 - 12 level)|250
AWM4M|Visual Arts - Drawing and Painting|Grade 12|University/College Preparation (Grade 11 & 12 level)|1160
AWN2O|Visual Arts - Painting|Grade 10|Open (Grade 9 - 12 level)|15
AWN3M|Visual Arts - Painting|Grade 11|University/College Preparation (Grade 11 & 12 level)|125
AWN3O|Visual Arts - Painting|Grade 11|Open (Grade 9 - 12 level)|50
AWN4M|Visual Arts - Painting|Grade 12|University/College Preparation (Grade 11 & 12 level)|340
AWO2O|Visual Arts - Printmaking|Grade 10|Open (Grade 9 - 12 level)|100
AWO3M|Visual Arts - Printmaking|Grade 11|University/College Preparation (Grade 11 & 12 level)|90
AWO3O|Visual Arts - Printmaking|Grade 11|Open (Grade 9 - 12 level)|65
AWO4M|Visual Arts - Printmaking|Grade 12|University/College Preparation (Grade 11 & 12 level)|110
AWP2O|Visual Arts - Sculpture|Grade 10|Open (Grade 9 - 12 level)|140
AWP3M|Visual Arts - Sculpture|Grade 11|University/College Preparation (Grade 11 & 12 level)|210
AWP3O|Visual Arts - Sculpture|Grade 11|Open (Grade 9 - 12 level)|365
AWP4M|Visual Arts - Sculpture|Grade 12|University/College Preparation (Grade 11 & 12 level)|265
AWQ1O|Visual Arts - Photography|Grade 9|Open (Grade 9 - 12 level)|230
AWQ2O|Visual Arts - Photography|Grade 10|Open (Grade 9 - 12 level)|4685
AWQ3M|Visual Arts - Photography|Grade 11|University/College Preparation (Grade 11 & 12 level)|7600
AWQ3O|Visual Arts - Photography|Grade 11|Open (Grade 9 - 12 level)|4545
AWQ4M|Visual Arts - Photography|Grade 12|University/College Preparation (Grade 11 & 12 level)|3465
AWR1O|Visual Arts - Film/Video|Grade 9|Open (Grade 9 - 12 level)|105
AWR2O|Visual Arts - Film/Video|Grade 10|Open (Grade 9 - 12 level)|135
AWR3M|Visual Arts - Film/Video|Grade 11|University/College Preparation (Grade 11 & 12 level)|780
AWR3O|Visual Arts - Film/Video|Grade 11|Open (Grade 9 - 12 level)|245
AWR4M|Visual Arts - Film/Video|Grade 12|University/College Preparation (Grade 11 & 12 level)|810
AWS1O|Visual Arts - Digital Media|Grade 9|Open (Grade 9 - 12 level)|1220
AWS2O|Visual Arts - Digital Media|Grade 10|Open (Grade 9 - 12 level)|1210
AWS3M|Visual Arts - Digital Media|Grade 11|University/College Preparation (Grade 11 & 12 level)|1170
AWS3O|Visual Arts - Digital Media|Grade 11|Open (Grade 9 - 12 level)|345
AWS4M|Visual Arts - Digital Media|Grade 12|University/College Preparation (Grade 11 & 12 level)|795
AWT1O|Visual Arts - Non-Traditional|Grade 9|Open (Grade 9 - 12 level)|240
AWT2O|Visual Arts - Non-Traditional|Grade 10|Open (Grade 9 - 12 level)|630
AWT3M|Visual Arts - Non-Traditional|Grade 11|University/College Preparation (Grade 11 & 12 level)|525
AWT3O|Visual Arts - Non-Traditional|Grade 11|Open (Grade 9 - 12 level)|410
AWT4M|Visual Arts - Non-Traditional|Grade 12|University/College Preparation (Grade 11 & 12 level)|735
AWU1O|Visual Arts - Cultural/Historical Studies|Grade 9|Open (Grade 9 - 12 level)|<10
AWU2O|Visual Arts - Cultural/Historical Studies|Grade 10|Open (Grade 9 - 12 level)|115
AWU3M|Visual Arts - Cultural/Historical Studies|Grade 11|University/College Preparation (Grade 11 & 12 level)|30
AWU3O|Visual Arts - Cultural/Historical Studies|Grade 11|Open (Grade 9 - 12 level)|125
AWU4M|Visual Arts - Cultural/Historical Studies|Grade 12|University/College Preparation (Grade 11 & 12 level)|325
BAD4T|Administrative Accounting|Grade 12|College Delivered (Dual Credits)|<10
BAF3M|Financial Accounting Fundamentals|Grade 11|University/College Preparation (Grade 11 & 12 level)|28335
BAI3E|Accounting Essentials|Grade 11|Workplace Preparation (Grade 11 & 12 level)|205
BAT4M|Financial Accounting Principles|Grade 12|University/College Preparation (Grade 11 & 12 level)|7950
BBA4T|Introduction to Business|Grade 12|College Delivered (Dual Credits)|155
BBB4E|International Business Essentials|Grade 12|Workplace Preparation (Grade 11 & 12 level)|15
BBB4M|International Business Fundamentals|Grade 12|University/College Preparation (Grade 11 & 12 level)|20400
BBF4T|Business, Its Nature and Environment|Grade 12|College Delivered (Dual Credits)|30
BBI1O|Introduction to Business|Grade 9|Open (Grade 9 - 12 level)|5945
BBI2O|Introduction to Business|Grade 10|Open (Grade 9 - 12 level)|39025
BCA4T|Business Communications|Grade 12|College Delivered (Dual Credits)|15
BCB4T|Consumer Behaviour|Grade 12|College Delivered (Dual Credits)|15
BCH4T|Communication and Interpersonal Skills|Grade 12|College Delivered (Dual Credits)|<10
BDA4T|Entrepreneurship|Grade 12|College Delivered (Dual Credits)|<10
BDB4T|Entrepreneurship and Small Business|Grade 12|College Delivered (Dual Credits)|25
BDE4T|Entrepreneurial Exploration|Grade 12|College Delivered (Dual Credits)|20
BDI3C|Entrepreneurship: The Venture|Grade 11|College Preparation (Grade 11 & 12 level)|13845
BDP3O|Entrepreneurship: The Enterprising Person|Grade 11|Open (Grade 9 - 12 level)|1315
BDV4C|Entrepreneurship: Venture Planning in an Electronic Age|Grade 12|College Preparation (Grade 11 & 12 level)|2325
BMA4T|Introduction to Marketing|Grade 12|College Delivered (Dual Credits)|25
BMB4T|Marketing|Grade 12|College Delivered (Dual Credits)|20
BMC4T|Visual Merchandising|Grade 12|College Delivered (Dual Credits)|20
BMD4T|The Business of Advertising|Grade 12|College Delivered (Dual Credits)|55
BMG4T|Introduction to Sport Marketing|Grade 12|College Delivered (Dual Credits)|20
BMI3C|Marketing: Goods, Services, Events|Grade 11|College Preparation (Grade 11 & 12 level)|22465
